"site_id","store_domain","store_name","must_path","img_url","favicon","pattern","currency","currency_symbol","return_link","pg_init_sel","price_selector","oos_selector","title_selector","image_selector","pg_append_selector","pg_button_css","pg_popup_css","pw_append_selector","prod_data_sel","pw_button_css","graph_css","active","deals_active","coupon_store_id"
"1","flipkart.com","flipkart","^https?:\/\/(?:www\.)?flipkart\.com","https://cdn2.flipshope.com/assets/1673334493062.png","https://www.google.com/s2/favicons?sz=64&domain=flipkart.com","{""isRemoveQuery"": false, ""splitOn"": ""pid="", ""index"": -1, ""subSplit"": ""&"", ""subIndex"": 0}","₹","INR","https://www.flipkart.com/p/p/item?pid=${PID}",".Nx9bqj.CxhGGd,.hZ3P6w.bnqy13,.v1zwn21j.v1zwn20",".Nx9bqj.CxhGGd,.hZ3P6w.bnqy13,.v1zwn21j.v1zwn20,.v1zwn21k.v1zwn20",".Z8JjpR"," .VU-ZEz,.LMizgS,._1psv1ze2i .v1zwn21j.v1zwn26,._1psv1zeb9._1psv1ze0 ._1psv1ze0 ._1psv1zeb9._1psv1ze0._1psv1ze2i",".jLEJ7H,.utBuJY,.DByuf4.IZexXJ,.UCc1lI.xD43kG,.RXQuYa img,._1psv1ze36 ._1o6mltljo img",".QiMO5r","display: flex; justify-content: left; align-items: center;",,"._1BweB8","{
	""title"": "".VU-ZEz,.LMizgS,._1psv1ze2i .v1zwn21j.v1zwn26,._1psv1zeb9._1psv1ze0 ._1psv1ze0 ._1psv1zeb9._1psv1ze0._1psv1ze2i"",
	""price"": "".Nx9bqj.CxhGGd,.hZ3P6w.bnqy13,.v1zwn21j.v1zwn20,.v1zwn21k.v1zwn20"",
	""ratting"": "".XQDdHH._1Quie7,.XQDdHH:eq(0)"",
	""description"": ""._4gvKMe"",
	""num_rattings"": "".Wphh3N span, .Wphh3N:eq(0)"",
	""num_reviews"": "".Wphh3N span, .Wphh3N:eq(0)"",
	""imgurl"": ""._1psv1ze36 ._1o6mltljo img.getattr('src')"",
        ""all_imgurls"":""._1psv1ze36 ._1o6mltljo img"",
	""cat"": ""._7dPnhA"",
	""brand"": "".mEh187"",
	""mrp"": "".yRaY8j:eq(0),.v1zwn21l.v1zwn21""
}",".row.nikxH8","top:1px; left:1px;","1","1","paflidwzpp"
"2","amazon.in","amazon","^https?:\/\/(?:www\.)?amazon\.in","https://cdn.hyyzo.com/images/file1636461644055amazonlogo.png","https://www.google.com/s2/favicons?sz=64&domain=amazon.in","{""isRemoveQuery"": true, ""splitOn"": [""/dp/"", ""/product/"", ""/offer-listing/""], ""index"": 1, ""subSplit"": ""/"", ""subIndex"": 0}","₹","INR","https://www.amazon.in/dp/${PID}","#ebooksProductTitle, #ProductTitle, #productTitle",".a-button-selected .a-color-price .twisterSwatchPrice, .a-button-selected .a-color-price, #corePriceDisplay_desktop_feature_div .a-price.priceToPay .a-price-whole, #corePrice_desktop .priceblock_vat_inc_price .a-price[data-a-color='price']:not('.a-size-small') .a-offscreen, #corePrice_desktop :not(.priceblock_vat_excl_price):not(#price_vat_excl):not(.a-span12.a-color-price.a-size-base .a-color-price) > :not(.priceblock_vat_excl_price):not(#price_vat_excl):not(.a-size-small).a-price[data-a-color='price'] .a-offscreen",".a-section.a-spacing-small.a-text-center, .a-section.a-spacing-base.a-spacing-top-micro","#productTitle","#imgTagWrapperId img","#price, #corePrice_desktop, #apex_desktop","display: flex; justify-content: left; align-items: center;",,"#main-image-container1","{
  ""title"": ""#productTitle"",
  ""price"": "".a-button-selected .a-color-price .twisterSwatchPrice, .a-button-selected .a-color-price, #corePriceDisplay_desktop_feature_div .a-price.priceToPay .a-price-whole, #corePrice_desktop .priceblock_vat_inc_price .a-price[data-a-color='price']:not('.a-size-small') .a-offscreen, #corePrice_desktop :not(.priceblock_vat_excl_price):not(#price_vat_excl):not(.a-span12.a-color-price.a-size-base .a-color-price) > :not(.priceblock_vat_excl_price):not(#price_vat_excl):not(.a-size-small).a-price[data-a-color='price'] .a-offscreen"",
""all_imgurls"":"".a-spacing-small.item.imageThumbnail.a-declarative img"",
  ""ratting"": "".a-popover-trigger.a-declarative .a-size-base.a-color-base,#averageCustomerReviews .a-icon-star"",
  ""description"": ""#productDescription"",
  ""num_rattings"": ""#acrCustomerReviewText"",
  ""imgurl"": ""#imgTagWrapperId img.getattr('src'),.a-dynamic-image.a-stretch-vertical img.getattr('src'),#imgBlkFront img.getattr('src')"",
  ""cat"": "".a-unordered-list.a-horizontal.a-size-small"",
  ""brand"": "".brand-snapshot-flex-row .a-size-medium.a-text-bold:eq(0), .po-brand .a-size-base.po-break-word:eq(0),.a-unordered-list.a-nostyle.a-vertical.a-spacing-none.detail-bullet-list .a-list-item:eq(2) span:eq(1)"",
  ""mrp"": "".basisPrice .a-price.a-text-price .a-offscreen,.a-size-small.a-color-secondary.aok-align-center.basisPrice .a-price.a-text-price .a-offscreen:eq(0), .a-size-base.a-color-secondary .a-price.a-text-price .a-offscreen:eq(0)"",
  ""color"": "".po-color .a-size-base.po-break-word:eq(0),#variation_color_name .selection""
}","#ppd, #hover-zoom-end","bottom:10px; right:5px;","1","1","whamalijoo"
"3","shopclues.com","shopclues","^https?:\/\/(?:www\.)?shopclues\.com","https://cdn2.flipshope.com/assets/1675766081702.png","https://www.google.com/s2/favicons?sz=64&domain=shopclues.com","{""isRemoveQuery"": false, ""splitOn"": "".htm"", ""index"": 0, ""subSplit"": ""/"", ""subIndex"": -1, ""append"": "".html""}","₹","INR","https://bazaar.shopclues.com/${PID}.html",".f_price",".f_price",,".prd_mid_info h1","#thumblist img",,,,".prd_img_gallery","{ ""title"":"".prd_mid_info h1"",""price"":"".f_price"",""ratting"":"".prd_ratings span[itemprop='ratingValue']"",""imgurl"":""#thumblist img.getattr('src')"",""description"":"".pd_tabs.pd_data.active"",""num_rattings"":"".rating_num"",""num_reviews"":""#scrolltoreview"",""mrp"":""#sec_list_price_"",""cat"":"".breadcrums""}",,NULL,"1","0","xlshojvsee"
"4","snapdeal.com","snapdeal","^https?:\/\/(?:www\.)?snapdeal\.com","https://cdn2.flipshope.com/assets/file1676960995580Snapdeal20230221114557280.jpg","https://www.google.com/s2/favicons?sz=64&domain=snapdeal.com","{""isRemoveQuery"": true, ""splitOn"": ""/product/"", ""index"": -1, ""subSplit"": ""/"", ""subIndex"": -1, ""parseInt"": true}","₹","INR","https://www.snapdeal.com/product/p/${PID}",".payBlkBig",".payBlkBig",".sold-out-err",".pdp-e-i-head","img.cloudzoom",,"margin-bottom: 10px;",,".left-imagepanel","{
	""title"": "".pdp-e-i-head"",
	""imgurl"": "".clearfix.height-inherit img.getattr('src')"",
         ""all_imgurls"":"".bx-viewport ul li img"",
	""price"": "".pdp-final-price"",
	""cat"": "".pdp-e-i-head"",
	""brand"": "".col-xs-8 a i[itemprop='name']"",
	""ratting"": "".avrg-rating,.rating-text .rating"",
	""description"": "".spec-body.specifications .detailssubbox"",
	""num_rattings"": "".total-rating.showRatingTooltip"",
	""num_reviews"": "".total-review-txt"",
	""mrp"": "".pdp-e-i-PAY-r.disp-table-cell.lfloat .pdpCutPrice""
}",,NULL,"1","0","nssnaoyypp"
"5","jiomart.com","jiomart","^https?:\/\/(?:www\.)?jiomart\.com","https://cdn2.flipshope.com/assets/1682487734858.jpeg","https://www.google.com/s2/favicons?sz=64&domain=jiomart.com","{""isRemoveQuery"": true, ""splitOn"": ""/p/"", ""index"": 1, ""subSplit"": ""/"", ""subIndex"": 2}","₹","INR","https://www.jiomart.com/search/${PID}",".jm-heading-xs.jm-ml-xxs",".jm-heading-xs.jm-ml-xxs",,".product-header-name.jm-mb-xs.jm-body-m-bold",".swiper-thumb-slides-img.lazyautosizes.lazyloaded",,"margin: 10px 0;",,".pwO4","{
 ""title"":"".product-header-name.jm-mb-xs.jm-body-m-bold"",""price"":"".jm-heading-xs.jm-ml-xxs"",
""all_imgurls"":"".figure img"",
""mrp"":"".jm-body-s.jm-fc-primary-grey-80 span.line-through"",
""ratting"":""#average"",
""description"":""#pdp_description div"",""brand"":"".product-header-brand-text "",""cat"":"".jm-breadcrumbs.breadcrumbs-container"",""imgurl"":"".swiper-thumb-slides-img.lazyautosizes.lazyloaded.getattr('src')"",
""num_rattings"":"".review-count.jm-body-m-bold.jm-fc-primary-60.jm-pl-xs""}",,NULL,"1","1","pxaosjytpv"
"6","tatacliq.com","tatacliq","^https?:\/\/(?:www\.)?tatacliq\.com","https://cdn2.flipshope.com/assets/file1676960484312tatacliq20230221114508049.jpg","https://www.google.com/s2/favicons?sz=64&domain=tatacliq.com","{""isRemoveQuery"": true, ""splitOn"": ""/p-"", ""index"": -1}","₹","INR","https://www.tatacliq.com/p/p-${PID}","[itemprop=""offers""]","[itemprop=""offers""] h3",".ProductDescriptionPage__notifyMeWrapper","[itemprop=""name""] h1",".ProductGalleryDesktopUpdated__images,
.ProductGalleryDesktop__image img,
.Image__actual",,"margin-bottom: 10px; margin-top: -5px;",,".bjKfRPm1O2i2fF7Jgw50N","{
	""title"": "".ProductDetailsMainCard__productDescriptionSection .ProductDetailsMainCard__linkName .ProductDetailsMainCard__productName"",
	""imgurl"": "".ProductGalleryDesktopUpdated__images, .ProductGalleryDesktop__image.getattr('src')"",
""all_imgurls"":"".ProductGalleryDesktopUpdated__content img"",
	""price"": "".ProductDetailsMainCard__productPriceSection .ProductDetailsMainCard__priceAndDiscountSection .ProductDetailsMainCard__price h3"",
	""cat"": "".ProductDescriptionPage__genericName .ProductDescriptionPage__manufacturerDetailsBoldText"",
	""brand"": "".ProductDetailsMainCard__productDescriptionSection .ProductDetailsMainCard__brandName"",
	""ratting"": "".ProductDetailsMainCard__reviewElectronics"",
	""description"": "".Accordion__base"",
	""num_rattings"": "".ProductDetailsMainCard__ratingLabel"",
""num_reviews"": "".ProductDetailsMainCard__labelText .ProductDetailsMainCard__ratingLabel:eq(1)"",
	""mrp"": "".ProductDetailsMainCard__priceAndDiscountSection .ProductDetailsMainCard__priceCancelled.ProductDetailsMainCard__discountPrice .ProductDetailsMainCard__cancelPrice""
}",,NULL,"1","1","botatvpboo"
"7","myntra.com","myntra","^https?:\/\/(?:www\.)?myntra\.com","https://cdn2.flipshope.com/assets/file1676960315643myntra120230221114455686.jpg","https://www.google.com/s2/favicons?sz=64&domain=myntra.com","[{""isRemoveQuery"": true, ""splitOn"": ""/buy"", ""index"": 0, ""subSplit"": ""/"", ""subIndex"": -1, ""parseInt"": true},{""isRemoveQuery"": true, ""splitOn"": ""/"", ""index"": -1,""parseInt"": true},{""isRemoveQuery"": false, ""splitOn"": ""/buy"", ""index"": 0, ""subSplit"": ""/"", ""subIndex"": -1, ""parseInt"": true}]","₹","INR","https://www.myntra.com/product/p/p/${PID}/buy",".pdp-price",".pdp-price strong",".pdp-add-to-bag.pdp-button.pdp-flex.pdp-center.pdp-out-of-stock ",".pdp-name",".image-grid-image",".pdp-discount-container","display: flex; justify-content: left; align-items: center;",".arrow-top {left: 350px;} #wp-container { transform: translateX(-300px);}",".image-grid-container .image-grid-col50","{
	""title"": "".pdp-price-info .pdp-name"",
	""price"": "".pdp-price strong"",
	""ratting"": "".index-flexRow.index-averageRating span"",
         ""all_imgurls"":"".image-grid-imageContainer .image-grid-image.getattr('style')"",
	""description"": "".pdp-productDescriptorsContainer"",
	""num_rattings"": "".index-ratingsCount"",
	""num_reviews"": "".detailed-reviews-allReviews"",
	""imgurl"": "".image-grid-image.getattr('style')"",
	""cat"": "".index-rowValue:eq(0)"",
	""brand"": "".pdp-title"",
	""mrp"": "".pdp-discount-container .pdp-mrp s""
}",".SelectedSizeSellerInfo-sellerInfoContainer,.pincode-deliveryContainer",NULL,"1","1","mpmynkgrjj"
"8","nykaa.com","nykaa","^https?:\/\/(?:www\.)?nykaa\.com","https://cdn2.flipshope.com/assets/file1676960862661Nykaa20230221114519529.jpg","https://www.google.com/s2/favicons?sz=64&domain=nykaa.com","{""isRemoveQuery"": true, ""splitOn"": ""/p/"", ""index"": 1, ""subSplit"": ""/"", ""subIndex"": 0}","₹","INR","https://www.nykaa.com/p/p/${PID}?productId=${PID}",".css-1jczs19",".css-1jczs19,.css-1jczs19:eq(0)",".css-16e24hp",".css-5dyx2i .css-1d5wdox h1",".css-5n0nl4 img",,"margin-bottom:10px;",,".css-ov1ktg","{
	""title"": "".css-5dyx2i .css-1d5wdox h1"",
	""price"": "".css-1jczs19,.css-1jczs19:eq(0)"",
	""ratting"": "".css-m6n3ou,.css-u2f8dr .css-1hvvm95:eq(0)"",
         ""num_rattings"":"".css-1eip5u4,.css-1eip5u4"",
	""description"": "".css-h136hv .css-98gl1e"",
	""num_reviews"": "".css-1eip5u4,.css-1eip5u4 .css-1hvvm95:eq(2)"",
	""imgurl"": "".css-14y2xde .productSelectedImage.css-eyk94w .css-5n0nl4 div img.getattr('src')"",
	""cat"": "".css-16kpx0l .last-list.css-hnjjmz"",
	""brand"": "".css-5dyx2i .css-1d5wdox h1"",
	""mrp"": "".css-u05rr span:nth-child(1)""
}",,NULL,"1","0","eunykgoi"
"9","ajio.com","ajio","^https?:\/\/(?:www\.)?ajio\.com","https://cdn2.flipshope.com/assets/file1676960572216ajio20230221114513873.jpg","https://www.google.com/s2/favicons?sz=64&domain=ajio.com","{""isRemoveQuery"": true, ""splitOn"": ""/p/"", ""index"": 1, ""subSplit"": ""/"", ""subIndex"": 0}","₹","INR","https://www.ajio.com/p/${PID}",".prod-price-section .prod-sp",".prod-price-section .prod-sp",".oos-heading",".prod-name","#main-content .slick-slide img",".prod-price-section","display: flex; justify-content: center; align-items: center;",".arrow-top {left: 400px;} #wp-container { transform: translateX(-350px);}",".img-mv-left","{
	""title"": "".prod-container .col-4 .prod-content .prod-name"",
	""price"": "".prod-content .prod-price-section .prod-sp"",
	""description"": "".prod-desc .prod-list"",
	""imgurl"": "".slick-track .slick-slide .img-container img.getattr('src')"",
         ""all_imgurls"":"".product-image-gallery .slick-slide.slick-active img"",
	""cat"": "".prod-content .prod-name"",
        ""ratting"":""._3c5q0"",
        ""num_rattings"": ""._38RNg"",
	""brand"": "".col-4 .prod-content .brand-name"",
	""mrp"": "".prod-price-section .prod-price-sec .prod-cp""
}",".prod-container",NULL,"1","1","shajiiiqkk"
"10","pepperfry.com","pepperfry","^https?:\/\/(?:www\.)?pepperfry\.com","https://cdn2.flipshope.com/assets/file1676975119634pepperfry20230221114641625.jpg","https://www.google.com/s2/favicons?sz=64&domain=pepperfry.com","{""isRemoveQuery"": true, ""splitOn"": "".html"", ""index"": 0, ""subSplit"": ""-"", ""subIndex"": -1, ""parseInt"": true}","₹","INR","https://www.pepperfry.com/site_product/search?q=${PID}","span.text-xxl.font-bold.ng-tns-c175-1,.text-xxl.font-bold.ng-tns-c181-1",".text-xxl.font-bold.ng-tns-c176-1,span.text-xxl.font-bold.ng-tns-c175-1,.row.middle-xs.color-tertiary span ,
.row.ng-star-inserted .pf-col.xs-8.sm-9 .row.middle-xs:eq(1),
.vipPrice span[data-price],
.price-amount.text-xl.font-bold,
.text-xxl.font-bold.ng-tns-c159-1,
.text-xxl.font-bold.ng-tns-c178-1,.text-xxl.font-bold.ng-tns-c180-1,.text-xxl.font-bold.ng-tns-c181-1",".vip-notify-btn.button-outlined-black",".vip-product-title, .vip-product-name.text-lg.font-medium.marginBottom-4 .color-tertiary",".web-vip-thumb-each.vip-center-icon img,.vipImage__big a img,
.web-vip-thumb-images.ng-tns-c158-0 .ng-tns-c158-0,
.web-vip-thumb-each.vip-center-icon.marginBottom-4.ng-tns-c164-0.web-vip-thumb-each-active.vip-product-10x11.ng-star-inserted .ng-tns-c164-0.ng-star-inserted",,"margin-bottom:10px;",,".vipSavings, .vipPrice span[data-price], .price-amount.text-xl.font-bold","{
	""title"": "".vip-product-name.text-lg.font-medium.marginBottom-4 .color-tertiary"",
	""price"": "".text-xxl.font-bold.ng-tns-c176-1,.text-xxl.font-bold.ng-tns-c175-1,.row.middle-xs.color-tertiary span , .row.ng-star-inserted .pf-col.xs-8.sm-9 .row.middle-xs:eq(1),.text-xxl.font-bold.ng-tns-c180-1,.text-xxl.font-bold.ng-tns-c181-1"",
	""description"": "".ng-star-inserted .panel.panel-default.dropup:eq(1)"",
	""ratting"": "".vip-product-rating.ng-star-inserted,.title.color-heading.paddingTop-12.marginBottom-12.ng-star-inserted"",
        ""all_imgurls"":"".vip-image-gallery.marginBottom-32 .web-vip-thumb-images img"",
	""imgurl"": "".web-vip-thumb-each.vip-center-icon img.getattr('src')"",
	""cat"": "".breadcrumb-link.text-xs.color-secondary.font-medium.ng-star-inserted:eq(1)"",
	""brand"": "".vip-product-info-container .vip-product-name span:eq(1)"",
	""mrp"": "".text-lg.ng-tns-c176-1,.text-lg.ng-tns-c175-1,.pf-col.xs-8.sm-9.text-md .row.line-through.text-md.color-secondary.font-normal""
}",,NULL,"1","1","tmpepwwmoo"
"11","firstcry.com","firstcry","^https?:\/\/(?:www\.)?firstcry\.com","https://cdn2.flipshope.com/assets/file1676961239355firstcry20230221114625806.jpg","https://www.google.com/s2/favicons?sz=64&domain=firstcry.com","{""isRemoveQuery"": true, ""splitOn"": ""/product-detail"", ""index"": 0, ""subSplit"": ""/"", ""subIndex"": -1, ""parseInt"": true}","₹","INR","https://www.firstcry.com/p/p/${PID}/product-detail","#prod_price",".prod-price.J15B_42,.div-prod-price #prod_price",".in_pro_inner_1st","#prod_name,.h1-name","#slide-wrap img,#zommcon0",,,,".left-contr .prod-img","{
	""title"": "".J14SB_42 span.J14R_42"",
	""price"": "".prod-price.J15B_42"",
	""description"": "".R14_61.p-prod-desc"",
	""imgurl"": "".imgSlider_Wrap img.getattr('src')"",
	""cat"": ""#breadcrumb"",
	""brand"": "".R14_61.p-prod-desc p span:eq(2)"",
	""mrp"": "".J14R_42 del,.pos-rel2stat.new-mrp-wrap .pmr.R20_75.pos-rel2stat"",
""ratting"":"".J26B_42""

}",,NULL,"1","0","bsfirxzskk"
"12","nykaafashion.com","nykaafashion","^https?:\/\/(?:www\.)?nykaafashion\.com","https://cdn2.flipshope.com/assets/file1676961638156nykaafashion20230221120049857.jpg","https://www.google.com/s2/favicons?sz=64&domain=nykaafashion.com","{""isRemoveQuery"": true, ""splitOn"": ""/p/"", ""index"": 1, ""subSplit"": ""/"", ""subIndex"": 0, ""parseInt"": true}","₹","INR","https://www.nykaafashion.com/p/p/${PID}",".css-1byl9fj",".css-1byl9fj",".notify-btn.css-yraz7b",".css-19qbs56 .css-0, .css-cmh3n9",".css-1i0306j img",,,,".css-lum4bw","{
	""title"": "".css-cmh3n9"",
	""price"": "".css-1byl9fj,css-1byl9fj,.css-hiaz4f .css-1byl9fj"",
	""ratting"": "".css-16lwuc1 .css-xoezkq"",
	""description"": "".css-tr45an .css-rreud0"",
	""num_rattings"": "".css-kmkjrs,.css-lpjc58 .css-kmkjrs"",
	""imgurl"": "".css-1i0306j img.getattr('src')"",
	""cat"": "".css-zorlgh,.css-175ipe2 .css-cmh3n9"",
	""brand"": "".css-175ipe2 .css-6mpq2k"",
	""mrp"": "".css-5pw8k6""
}",,NULL,"0","0","eunykgoj"
"13","croma.com","croma","^https?:\/\/(?:www\.)?croma\.com","https://cdn2.flipshope.com/assets/file1676960416742chorme20230221114502646.jpg","https://www.google.com/s2/favicons?sz=64&domain=croma.com","{""isRemoveQuery"": true, ""splitOn"": ""/p/"", ""index"": 1, ""subSplit"": ""/"", ""subIndex"": 0, ""parseInt"": true}","₹","INR","https://www.croma.com/p/p/${PID}",".new-price .amount",".new-price .amount",".not-available-color",".pd-title.pd-title-normal",".gallery-top .swiper-wrapper .swiper-slide.swiper-slide-active span img",,,,".col-md-6.sticky-inner.sticky-inner-pdp","{
	""title"": "".pd-title.pd-title-normal"",
	""price"": "".new-price .amount"",
	""ratting"": "".cp-rating span,.totalRating"",
""num_rattings"":"".pr-review.review-text"",
         ""all_imgurls"":"".gallery-top .swiper-container.swiper-container-initialized.swiper-container-horizontal img.getattr('srcset')"",
	""description"": "".cp-overview.pd-eligibility-wrap"",""imgurl"":"".gallery-top .swiper-wrapper .swiper-slide.swiper-slide-active span img.getattr('src')"",
	""num_reviews"": "".pr-review.review-text"",
	""mrp"": "".cp-price.discount .old-price .amount""
}",,NULL,"1","1","rucroupbjj"
"14","reliancedigital.in","reliancedigital","^https?:\/\/(?:www\.)?reliancedigital\.in","https://cdn2.flipshope.com/assets/file1676975252113reliancedigital20230221114608231.jpg","https://www.google.com/s2/favicons?sz=64&domain=reliancedigital.in","{""isRemoveQuery"": true, ""splitOn"": ""/product/"", ""index"": 1, ""subSplit"": ""/"", ""subIndex"": 0}","₹","INR","https://www.reliancedigital.in/product/${PID}",".product-price",".product-price",".ripple.pdp__noStockBlock__notifymeBtn.mt__20.btn__default.pointer",".product-name",".pdp-image.animated.fadeIn",,,,".pdp__offerPrice","{
	""title"": "".product-name"",
	""price"": "".product-price"",
	""ratting"": "".rd-feedback-service-average-rating-total-count"",
	""description"": "".product-long-description"",
        ""num_rattings"":"".rd-feedback-service-jds-desk-body-s.rd-feedback-service-jds-color-grey-80"",
	""num_reviews"": "".rd-feedback-service-jds-desk-body-s.rd-feedback-service-jds-color-grey-80"",
	""imgurl"": "".pdp-image.animated.fadeIn.getattr('src')"",
""all_imgurls"":"".image-gallery__list.scrollbar-hidden img"",
	""mrp"": "".product-marked-price""
}",,NULL,"1","1","wizrwvbrms"
"15","meesho.com","meesho","^https?:\/\/(?:www\.)?meesho\.com","https://cdn2.flipshope.com/assets/1712649602462.png","https://www.google.com/s2/favicons?sz=64&domain=meesho.com","{""isRemoveQuery"": true, ""splitOn"": ""/p/"", ""index"": 1}","₹","INR","https://www.meesho.com/q/p/${PID}",".ShippingInfoMobilestyles__PriceContainer-sc-b8wrmp-14 h4",".ShippingInfoMobilestyles__PriceContainer-sc-b8wrmp-14 h4",,".ShippingInfo__DetailCard-sc-frp12n-0 h1,.dKuTbW > span:first-child,h1.sc-eDvSVe.fhfLdV",".ProductDesktopImage__ImageWrapperDesktop-sc-8sgxcr-0 img",,,,,"{
	""title"": "".ShippingInfo__DetailCard-sc-frp12n-0 h1,.dKuTbW > span:first-child"",
	""price"": "".ShippingInfoMobilestyles__PriceContainer-sc-b8wrmp-14 h4"",
        ""all_imgurls"":"".ProductCard__StyledCarousel-sc-camkhj-6 img"",
	""ratting"": "".ShippingInfo__DetailCard-sc-frp12n-0 .sc-eDvSVe.laVOtN"",
	""description"": "".ProductDescription__DetailsCardStyled-sc-1l1jg0i-0"",""imgurl"":"".ProductDesktopImage__ImageWrapperDesktop-sc-8sgxcr-0 .AvifImage__ImageWrapper-sc-1055enk-0.getattr('src')"",
	""num_rattings"": "".ShippingInfo__OverlineStyled-sc-frp12n-4"",
	""num_reviews"": "".ShippingInfo__OverlineStyled-sc-frp12n-4"",
	""mrp"":"".sc-eDvSVe.gQDOBc.sc-jSUZER""	
}",,NULL,"1","1","yaobqbudmt"
"16","purplle.com","purplle","^https?:\/\/(?:www\.)?purplle\.com","https://cdn2.flipshope.com/assets/1673517531516.svg","https://www.google.com/s2/favicons?sz=64&domain=purplle.com","{""isRemoveQuery"": true, ""splitOn"": ""/product/"", ""index"": 1}","₹","INR","https://purplle.com/product/${PID}",".pricing.ng-star-inserted strong",".pricing.ng-star-inserted strong",".w-50.btn.btn-lg.btn-primary",".mb-3.fw-semibold.lh-base",".mw-100.h-auto.p-2.mb-2.border.ng-star-inserted",,,,,"{
	""title"": "".mb-3.fw-semibold.lh-base"",
	""price"": "".pricing.ng-star-inserted strong"",
	""ratting"": "".ratings.ng-star-inserted strong"",""imgurl"":"".mw-100.h-auto.p-2.mb-2.border.ng-star-inserted.getattr('src')"",
	""description"": "".inner-box.ng-star-inserted li.ng-star-inserted p"",""mrp"":"".actual-price.ng-star-inserted"",
	""num_rattings"": "".user-rated-count.fw-normal"",
	""num_reviews"": "".user-rated-count.fw-normal""
	
	
}",,NULL,"1","0","qwpurkjmzz"
"17","shopsy.in","shopsy","^https?:\/\/(?:www\.)?shopsy\.in","https://cdn2.flipshope.com/assets/1698928344866.png","https://www.google.com/s2/favicons?sz=64&domain=shopsy.in","{""isRemoveQuery"": false, ""splitOn"": ""pid="", ""index"": -1, ""subSplit"": ""&"", ""subIndex"": 0}","₹","INR","https://www.shopsy.in/p/p/p?pid=${PID}",".css-146c3p1.r-cqee49.r-1vgyyaa",".css-146c3p1.r-cqee49.r-1vgyyaa",,".css-146c3p1.r-cqee49 .css-1jxf684",".css-175oi2r.r-1awozwy.r-1jkafct img",,,,,"{
	""title"": "".css-146c3p1.r-cqee49 .css-1jxf684"",
	""price"": "".css-146c3p1.r-cqee49.r-1vgyyaa"",
	""ratting"": "".ratings.ng-star-inserted strong"",""imgurl"":"".css-175oi2r.r-1awozwy.r-1jkafct img.getattr('src')"",
	""description"": "".css-175oi2r.r-12gph82.r-5kkj8d"",
	""num_rattings"": "".r-6koalj .css-146c3p1.r-dnmrzs"",
	""num_reviews"": "".user-rated-count.fw-normal""
	
	
}",,NULL,"1","0","zwepqksrwz"
"18","sephora.me","Sephora","^https?:\/\/(?:www\.)?sephora\.me\/ae-[a-z-]+","https://cdn2.flipshope.com/assets/file1763621158144download1.png",NULL,"{""isRemoveQuery"":true,""splitOn"": ""/p/"",""index"": -1,""subSplit"": ""/"",
    ""subIndex"": -1
  }","AED","AED","https://www.sephora.me/ae-en/p/p/${PID}","p.font-semibold.text-xs","p.font-semibold.text-xs","script[type='application/ld+json'].match('""availability"":\s*""([^""]*OutOfStock[^""]*)""')",".mb-16.flex.flex-1.flex-col.items-start h1",".h-auto.object-cover.w-full.transition-opacity.duration-700.ease-in-out.opacity-100",NULL,NULL,NULL,NULL,"{
""title"":"".mb-16.flex.flex-1.flex-col.items-start h1"",
""price"":""p.font-semibold.text-xs"",
""imgurl"":"".h-auto.object-cover.w-full.transition-opacity.duration-700.ease-in-out.opacity-100.getattr('src')"",
""num_rattings"":"".mb-4.flex.w-full.justify-between .flex.flex-wrap.items-end p.font-medium.tracking-wide.translate-y-px:nth-child(1)"",
""ratting"":"".mb-4.flex.w-full.justify-between .flex.flex-wrap.items-end p.font-medium.tracking-wide.translate-y-px"",
""all_imgurls"":"".swiper-slide .relative.h-full.w-full.object-cover img""
}",NULL,NULL,"1","0",NULL
"19","swarovski.ae","swarovski","^https?:\/\/(?:www\.)?swarovski\.ae","https://cdn2.flipshope.com/assets/file1763621075796download.png",NULL,"{""isRemoveQuery"": true, ""splitOn"": ""/"", ""index"": -1, ""subSplit"": ""."", ""subIndex"": 0}","AED","AED","https://www.swarovski.ae/${PID}.html","h2 .value","h2 .value",NULL,".js-name.product-name",".product-image-default.img-fluid",NULL,NULL,NULL,NULL,"{
	""title"": "".js-name.product-name"",
	""price"": ""h2 .value"",
        ""all_imgurls"":"".js-pdp-product-thumbnail-carousel-vertical .slick-list.draggable img"",
	""ratting"": """",
	""description"": "".product-description-wrapper p"",
    ""imgurl"":"".product-image-default.img-fluid.getattr('src')"",
	""num_rattings"": """",
	""num_reviews"": """",
	""mrp"":"".strike-through.d-block.list span""	
}",NULL,NULL,"1","0",NULL
